Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2022,November,Abule-Egba,4577.0,41393.0,11,4,0,12000,0
2022,November,Shomolu,114.0,1026.0,11,4,0,13000,5
2022,November,Badagry,1287.0,12460.0,11,4,0,8000,1
2022,November,Epe,1438.0,13960.5,11,4,0,7000,2
2022,November,Ikorodu,16646.0,158082.5,11,4,0,11000,3
2022,December,Olusosun,8820.0,86202.0,12,4,1,15000,4
2022,December,Abule-Egba,5336.0,48324.0,12,4,1,12000,0
2022,December,Shomolu,144.0,1296.0,12,4,1,13000,5
2022,December,Badagry,1421.0,14039.0,12,4,1,8000,1
2022,December,Epe,1529.0,14949.5,12,4,1,7000,2
2022,December,Ikorodu,17250.0,164810.5,12,4,1,11000,3
2023,January,Olusosun,9416.0,92491.0,1,1,1,15000,4
2023,January,Abule-Egba,5178.0,47240.0,1,1,1,12000,0
2023,January,Shomolu,146.0,1409.0,1,1,1,13000,5
2023,January,Badagry,1339.0,12906.0,1,1,1,8000,1
2023,January,Epe,1350.0,13456.0,1,1,1,7000,2
2023,January,Ikorodu,62943.0,167502.0,1,1,1,11000,3
2023,February,Olusosun,7461.0,72853.0,2,1,0,15000,4
2023,February,Abule-Egba,4252.0,38538.0,2,1,0,12000,0
2023,February,Shomolu,129.0,1161.0,2,1,0,13000,5
2023,February,Badagry,1142.0,10678.0,2,1,0,8000,1
2023,February,Epe,1121.0,10949.5,2,1,0,7000,2
2023,February,Ikorodu,30484.0,134179.5,2,1,0,11000,3
2023,March,Olusosun,9043.0,87805.0,3,1,0,15000,4
2023,March,Abule-Egba,4798.0,43517.0,3,1,0,12000,0
2023,March,Shomolu,150.0,1350.0,3,1,0,13000,5
2023,March,Badagry,1251.0,11897.5,3,1,0,8000,1
2023,March,Epe,803.0,7870.0,3,1,0,7000,2
2023,March,Ikorodu,35252.5,152439.5,3,1,0,11000,3
2023,April,Olusosun,8907.0,86341.0,4,2,0,15000,4
2023,April,Abule-Egba,4753.0,43582.0,4,2,0,12000,0
2023,April,Shomolu,132.0,1188.0,4,2,0,13000,5
2023,April,Badagry,1140.0,10800.0,4,2,0,8000,1
2023,April,Epe,1058.0,10681.0,4,2,0,7000,2
2023,April,Ikorodu,15990.0,152592.0,4,2,0,11000,3
2023,May,Olusosun,9928.0,95351.0,5,2,0,15000,4
2023,May,Abule-Egba,4733.0,43012.0,5,2,0,12000,0
2023,May,Shomolu,170.0,1530.0,5,2,0,13000,5
2023,May,Badagry,1285.0,12270.0,5,2,0,8000,1
2023,May,Epe,1055.0,11007.5,5,2,0,7000,2
2023,May,Ikorodu,17171.0,163170.5,5,2,0,11000,3
2023,June,Olusosun,9471.0,163616.0,6,2,0,15000,4
2023,June,Abule-Egba,7495.0,68000.0,6,2,0,12000,0
2023,June,Shomolu,257.0,2313.0,6,2,0,13000,5
2023,June,Badagry,2048.0,19147.0,6,2,0,8000,1
2023,June,Epe,1838.0,18718.0,6,2,0,7000,2
2023,June,Ikorodu,28672.0,271794.0,6,2,0,11000,3
2023,July,Olusosun,8971.0,86261.0,7,3,0,15000,4
2023,July,Abule-Egba,2727.0,24783.0,7,3,0,12000,0
2023,July,Shomolu,121.0,1089.0,7,3,0,13000,5
2023,July,Badagry,1155.0,10760.0,7,3,0,8000,1
2023,July,Epe,1138.0,11120.0,7,3,0,7000,2
2023,July,Ikorodu,14112.0,134013.0,7,3,0,11000,3
2023,August,Olusosun,9569.0,91862.0,8,3,0,15000,4
2023,August,Abule-Egba,2637.0,24053.0,8,3,0,12000,0
2023,August,Shomolu,170.0,1530.0,8,3,0,13000,5
2023,August,Badagry,1183.0,11002.0,8,3,0,8000,1
2023,August,Epe,1176.0,11526.0,8,3,0,7000,2
2023,August,Ikorodu,14735.0,139973.0,8,3,0,11000,3
2023,September,Olusosun,8101.0,77319.0,9,3,0,15000,4
2023,September,Abule-Egba,2231.0,20439.0,9,3,0,12000,0
2023,September,Shomolu,153.0,1392.0,9,3,0,13000,5
2023,September,Badagry,1068.0,9917.0,9,3,0,8000,1
2023,September,Epe,1072.0,10673.0,9,3,0,7000,2
2023,September,Ikorodu,12625.0,119740.0,9,3,0,11000,3
2023,October,Olusosun,8581.0,83516.0,10,4,0,15000,4
2023,October,Abule-Egba,2511.0,23214.0,10,4,0,12000,0
2023,October,Shomolu,169.0,1521.0,10,4,0,13000,5
2023,October,Badagry,1167.0,10983.0,10,4,0,8000,1
2023,October,Epe,1149.0,11016.0,10,4,0,7000,2
2023,October,Ikorodu,13577.0,130250.0,10,4,0,11000,3
2023,November,Olusosun,8812.0,83816.0,11,4,0,15000,4
2023,November,Abule-Egba,2458.0,22437.0,11,4,0,12000,0
2023,November,Shomolu,157.0,1413.0,11,4,0,13000,5
2023,November,Badagry,1127.0,10611.0,11,4,0,8000,1
2023,November,Epe,1056.0,10194.0,11,4,0,7000,2
2023,November,Ikorodu,13610.0,128471.0,11,4,0,11000,3
2023,December,Olusosun,8624.0,83179.0,12,4,1,15000,4
2023,December,Abule-Egba,2906.0,26625.0,12,4,1,12000,0
2023,December,Shomolu,166.0,1494.0,12,4,1,13000,5
2023,December,Badagry,1130.0,10608.0,12,4,1,8000,1
2023,December,Epe,1128.0,10885.5,12,4,1,7000,2
2023,December,Ikorodu,13954.0,132791.5,12,4,1,11000,3
2024,January,Olusosun,8552.0,81309.0,1,1,1,15000,4
2024,January,Abule-Egba,2879.0,26411.0,1,1,1,12000,0
2024,January,Shomolu,136.0,1224.0,1,1,1,13000,5
2024,January,Badagry,1174.0,10976.0,1,1,1,8000,1
2024,January,Epe,1105.0,10743.0,1,1,1,7000,2
2024,January,Ikorodu,52865.0,130663.0,1,1,1,11000,3
2024,February,Olusosun,7964.0,75682.0,2,1,0,15000,4
2024,February,Abule-Egba,2461.0,22877.0,2,1,0,12000,0
2024,February,Shomolu,122.0,1098.0,2,1,0,13000,5
2024,February,Badagry,1067.0,9938.0,2,1,0,8000,1
2024,February,Epe,967.0,9406.0,2,1,0,7000,2
2024,February,Ikorodu,49366.0,119001.0,2,1,0,11000,3
2024,March,Olusosun,7893.0,75330.0,3,1,0,15000,4
2024,March,Abule-Egba,2587.0,23498.0,3,1,0,12000,0
2024,March,Shomolu,156.0,1404.0,3,1,0,13000,5
2024,March,Badagry,1024.0,9591.0,3,1,0,8000,1
2024,March,Epe,984.0,9714.0,3,1,0,7000,2
2024,March,Ikorodu,49432.0,119537.0,3,1,0,11000,3
2024,April,Olusosun,7823.0,74691.0,4,2,0,15000,4
2024,April,Abule-Egba,2405.0,21860.0,4,2,0,12000,0
2024,April,Shomolu,130.0,1170.0,4,2,0,13000,5
2024,April,Badagry,960.0,8678.0,4,2,0,8000,1
2024,April,Epe,885.0,9245.0,4,2,0,7000,2
2024,April,Ikorodu,47056.0,115644.0,4,2,0,11000,3
2024,May,Olusosun,7721.0,73094.0,5,2,0,15000,4
2024,May,Abule-Egba,2306.0,20974.0,5,2,0,12000,0
2024,May,Shomolu,134.0,1206.0,5,2,0,13000,5
2024,May,Badagry,985.0,9300.0,5,2,0,8000,1
2024,May,Epe,937.0,9169.0,5,2,0,7000,2
2024,May,Ikorodu,43712.0,113743.0,5,2,0,11000,3
2024,June,Olusosun,7085.0,67552.0,6,2,0,15000,4
2024,June,Abule-Egba,1876.0,16989.0,6,2,0,12000,0
2024,June,Shomolu,161.0,1449.0,6,2,0,13000,5
2024,June,Badagry,987.0,9283.0,6,2,0,8000,1
2024,June,Epe,908.0,9348.0,6,2,0,7000,2
2024,June,Ikorodu,42453.0,104621.0,6,2,0,11000,3
2024,July,Olusosun,7357.0,70191.0,7,3,0,15000,4
2024,July,Abule-Egba,1925.0,17760.0,7,3,0,12000,0
2024,July,Shomolu,184.0,1676.0,7,3,0,13000,5
2024,July,Badagry,1198.0,11332.0,7,3,0,8000,1
2024,July,Epe,1175.0,11889.0,7,3,0,7000,2
2024,July,Ikorodu,44416.0,112848.0,7,3,0,11000,3
2024,August,Olusosun,7807.0,74475.0,8,3,0,15000,4
2024,August,Abule-Egba,2315.0,21744.0,8,3,0,12000,0
2024,August,Shomolu,180.0,1620.0,8,3,0,13000,5
2024,August,Badagry,1126.0,10903.0,8,3,0,8000,1
2024,August,Epe,1105.0,11222.0,8,3,0,7000,2
2024,August,Ikorodu,47907.0,119964.0,8,3,0,11000,3
2024,September,Olusosun,7551.0,72330.0,9,3,0,15000,4
2024,September,Abule-Egba,2197.0,20093.0,9,3,0,12000,0
2024,September,Shomolu,157.0,1418.0,9,3,0,13000,5
2024,September,Badagry,1182.0,11818.0,9,3,0,8000,1
2024,September,Epe,1117.0,11247.0,9,3,0,7000,2
2024,September,Ikorodu,48185.0,116906.0,9,3,0,11000,3
2024,October,Olusosun,6119.0,58671.0,10,4,0,15000,4
2024,October,Abule-Egba,2004.0,18306.0,10,4,0,12000,0
2024,October,Shomolu,164.0,1476.0,10,4,0,13000,5
2024,October,Badagry,1359.0,13591.0,10,4,0,8000,1
2024,October,Epe,1371.0,13447.0,10,4,0,7000,2
2024,October,Ikorodu,42419.0,105491.0,10,4,0,11000,3
2024,November,Olusosun,6350.0,60808.0,11,4,0,15000,4
2024,November,Abule-Egba,1381.0,12674.0,11,4,0,12000,0
2024,November,Shomolu,273.0,2457.0,11,4,0,13000,5
2024,November,Badagry,1389.0,13611.0,11,4,0,8000,1
2024,November,Epe,1675.0,16221.0,11,4,0,7000,2
2024,November,Ikorodu,42748.0,105771.0,11,4,0,11000,3
2024,December,Olusosun,7858.0,75621.0,12,4,1,15000,4
2024,December,Abule-Egba,1903.0,17267.0,12,4,1,12000,0
2024,December,Shomolu,234.0,2126.0,12,4,1,13000,5
2024,December,Badagry,1325.0,12940.0,12,4,1,8000,1
2024,December,Epe,1298.0,12910.0,12,4,1,7000,2
2024,December,Ikorodu,50264.0,120864.0,12,4,1,11000,3
